Edad,Atricion,ViajeTrabajo,PagaDiaria,Departamento,DistanciaCasa,NivelEducacion,CampoEducacion,SatisfaccionConEntorno,Genero,SalarioHora,InvolucracionTrabajo,NivelTrabajo,PuestoTrabajo,SatisfaccionTrabajo,EstadoCivil,IngresosMensuales,MonthlyRate,NumCompaniasTrabajadas,TrabajoFueraDeHora,IncrementoPorcentualSalario,PerformanceTrabajo,SatisfaccionRelacion,AniosTotalesTrabajo,EntrenamientoUltimoAnio,BalanceVidaTrabajo,AniosEnCompania,AniosPuestoActual,AniosDesdeUltimoAscenso,AniosJefeActual
52,No,Poco_Frecuente,699,Investigacion & Desarrollo,1,4,Ciencias,3,Masculino,65,2,5,Jefe Area,3,Casado,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
52,No,Poco_Frecuente,699,Investigacion & Desarrollo,1,4,Ciencias,3,Masculino,65,2,5,Jefe Area,3,Casado,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
52,No,Poco_Frecuente,699,Investigacion & Desarrollo,1,4,Ciencias,3,Masculino,65,2,5,Jefe Area,3,Casado,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
52,No,Poco_Frecuente,699,Investigacion & Desarrollo,1,4,Ciencias,3,Masculino,65,2,5,Jefe Area,3,Casado,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
52,No,Poco_Frecuente,699,Investigacion & Desarrollo,1,4,Ciencias,3,Masculino,65,2,5,Jefe Area,3,Casado,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
53,No,Poco_Frecuente,1084,Manufacturacion,13,2,Otro,4,Femenino,57,4,2,Manufacturador,1,Divorciado,4450,26250,1,No,11,3,3,5,3,3,4,2,1,3
53,No,Poco_Frecuente,1084,Manufacturacion,13,2,Otro,4,Femenino,57,4,2,Manufacturador,1,Divorciado,4450,26250,1,No,11,3,3,5,3,3,4,2,1,3
50,No,Poco_Frecuente,1452,Investigacion & Desarrollo,11,3,Ciencias,3,Masculino,53,3,5,Jefe Area,2,Soltero,19926,17053,3,No,15,3,2,21,5,3,5,4,4,4
50,No,Poco_Frecuente,1452,Investigacion & Desarrollo,11,3,Ciencias,3,Masculino,53,3,5,Jefe Area,2,Soltero,19926,17053,3,No,15,3,2,21,5,3,5,4,4,4
50,No,Poco_Frecuente,1452,Investigacion & Desarrollo,11,3,Ciencias,3,Masculino,53,3,5,Jefe Area,2,Soltero,19926,17053,3,No,15,3,2,21,5,3,5,4,4,4
